"t"	"obs"
1	0.968489342011516
2	-4.63031035143077
3	-21.1901444594539
4	-7.76853936275401
5	21.8334986476356
6	12.9293057033514
7	14.5902897787394
8	-3.82122183160614
9	-11.6544740685717
10	2.12133512608663
11	20.1964217549111
12	18.4434271323708
13	-3.97493627158994
14	-3.28811212748262
15	1.00673021488657
16	-11.5802432525721
17	5.73222512972801
18	-1.57025139456044
19	-16.072228802717
20	-8.79068354348852
21	19.8647178275351
22	-7.21973946366423
23	6.28127197010444
24	1.66132886013874
25	8.75037010851006
26	-7.52583329306253
27	8.43212528108095
28	1.85759380572071
29	-3.13839463760678
30	9.79334484032228
31	-4.63009482787821
32	-4.94619062058912
33	-12.6146063817126
34	2.11336437003878
35	19.2810843893323
36	-13.2041678504937
37	7.53275236642493
38	-3.94166585276862
39	-5.1883473419813
40	2.84601551352812
41	0.655752600755411
42	0.015185521999499
43	-13.3922555156196
44	10.6065458280273
45	2.58891869103994
46	-10.1650593931084
47	1.95107097216935
48	-0.187059014687132
49	5.17106583121812
50	-17.2849995556462
51	-4.50254993877878
52	-3.25252447113628
53	11.8048102672609
54	7.52893436638118
55	9.51227499398945
56	-9.61112485001988
57	11.3695237656742
58	-17.7584356695266
59	-6.86624888981831
60	4.02975268240528
61	-11.8002761223857
62	2.26217100473107
63	18.5742107513181
64	-3.84291832845906
65	12.705687802275
66	-12.0774996531282
67	5.86126714522723
68	1.81458947993775
69	-16.5488210052899
70	15.4175735369626
71	8.96431302234561
72	-4.93370500362767
73	-6.29839684216869
74	-2.66049755049352
75	13.8442181766453
76	-10.8722957837063
77	4.40227876600469
78	-5.50813661520077
79	-5.87420941357568
80	5.05469267483882
81	18.5576411603469
82	19.9642862767872
83	-3.42356624820353
84	-8.5199334578173
85	-0.762557744469936
86	1.20386047476393
87	-19.658765349063
88	5.83529272207207
89	-8.34977175690259
90	13.407914748978
91	-14.5561953638574
92	12.9270221668698
93	-3.95789762541861
94	-0.684552394652846
95	18.0196160199423
96	3.97866532589
97	-8.92070361917954
98	16.3296151056615
99	-13.3226528456897
100	-27.9983317990677
101	2.90978269141896
102	-9.25550864092893
103	-6.53337493474783
104	-4.46328778657397
105	1.00735083328196
106	11.8006495007356
107	2.97677141989355
108	-12.9970391538697
109	24.3535761859087
110	-7.47387136347061
111	0.103089957032927
112	7.4854310001747
113	1.96602998987833
114	-19.6328461320375
115	22.1386311500421
116	-15.292033582521
117	6.66025117231246
118	2.25913881902375
119	-4.18608491545234
120	-4.04688697934653
121	9.92215500060379
122	12.1001208715003
123	2.9295994771125
124	-10.1965617444418
125	-5.72293626804219
126	11.7484744920328
127	2.39323999575189
128	-5.28107933314137
129	2.12931392647871
130	-6.28971822687593
131	11.4791876552878
132	-3.87651932118409
133	-2.7654273589993
134	-3.30968538950701
135	1.88627883899469
136	7.19063630071594
137	-0.898832791908659
138	9.01784193174087
139	-12.8331348621726
140	-4.10696767959492
141	17.3705966354991
142	-6.97172565318453
143	-9.56260860264789
144	-7.26567420584968
145	-3.87090440897409
146	-10.4779311615825
147	6.2823203566231
148	-2.28869587096761
149	-1.53594787544094
150	12.3856733958784
151	10.8792292258648
152	5.99126906373344
153	-6.77208979088967
154	-6.17798020991935
155	-13.46653487771
156	-2.86342973342289
157	7.70221683628171
158	-10.2192402121579
159	7.56344621941085
160	2.17171825257427
161	7.81142688226495
162	3.05851830600751
163	6.45191613830296
164	-5.95543079111519
165	6.76246498941667
166	-2.34602058871118
167	1.2702265959833
168	-9.37893534430684
169	3.31759275672661
170	9.27611751567724
171	-8.28497491513104
172	10.7125852433444
173	4.56027213220932
174	13.9934422594423
175	19.2893988070886
176	6.62944874722105
177	5.45767178584264
178	25.2059308892732
179	33.4440148304163
180	30.4122902719682
181	27.5536297509021
182	12.8171428471765
183	37.984611841933
184	36.7115589041248
185	39.3372553943661
186	38.0954576996493
187	50.4396123446536
188	57.2060521300865
189	80.4568799780206
190	74.899273520431
191	95.9443954685282
192	101.728522430301
193	115.4029878232
194	127.170489765161
195	142.714381264789
196	153.056356993756
197	186.806924409553
198	196.255605871701
199	238.889287730785
200	231.851648229239
201	282.248972946635
202	299.328643278527
203	331.098120698112
204	356.800655102069
205	397.379904535777
206	452.793149559674
207	469.053021332698
208	522.059188610051
209	560.167917671096
210	582.453643787141
211	638.958565977511
212	659.408056720279
213	717.935136835539
214	736.333467563509
215	792.97645043055
216	821.720065795058
217	856.128595235966
218	899.249256981974
219	902.101582638693
220	931.773303855351
221	980.84130208496
222	1005.41916480831
223	1026.34981733487
224	1051.17067348449
225	1071.02385775734
226	1095.02144639728
227	1090.7843710739
228	1129.35563225763
229	1131.24446461234
230	1156.29066748066
231	1165.01244017061
232	1153.6795781693
233	1167.04414334578
234	1180.50236121408
235	1179.89880468691
236	1188.87238164245
